City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Waingapu,ID,79.74,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
5,Rikitea,PF,75.79,light rain,-23.1203,-134.9692,People ThankYou
13,Jega,NG,79.41,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
17,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
21,Torit,SS,76.19,overcast clouds,4.4133,32.5678,Diplomat Guest House
23,Trinidad,BO,87.78,few clouds,-14.8333,-64.9,Hotel Piesta
27,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
29,Gladstone,AU,80.53,broken clouds,-23.85,151.25,Highpoint International
30,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
31,Kapaa,US,80.92,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Lahaina,US,85.24,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
36,Hithadhoo,MV,81.63,scattered clouds,-0.6,73.0833,Scoop Guest House
48,Tambun,ID,75.09,haze,-6.2641,107.0712,Metland Hotel Bekasi
51,Port Keats,AU,82.31,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
52,Vanimo,PG,77.99,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
59,Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
60,Tomatlan,MX,84.06,few clouds,19.9333,-105.25,El Salvial
62,Coahuayana,MX,85.35,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
63,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Atuona,PF,78.73,scattered clouds,-9.8,-139.0333,Villa Enata
70,Progreso,MX,82.51,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
72,Nabire,ID,75.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
75,Bintulu,MY,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
82,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
90,Butaritari,KI,82.06,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
91,Margasari,ID,75.85,overcast clouds,-7.1,109.0167,Majlis Ta'lim NA-AM Jembayat
94,Coro,VE,80.78,broken clouds,11.4045,-69.6734,Federal
105,La Vega,DO,79.65,broken clouds,19.2221,-70.5296,Hotel Rey
114,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
116,Meulaboh,ID,76.1,overcast clouds,4.1363,96.1285,Kost Pria
118,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
124,Mankono,CI,79.9,few clouds,8.0586,-6.1897,Hôtel cotonputeur
126,Nieuw Nickerie,SR,80.62,overcast clouds,5.95,-56.9833,Ishwardat Inn
128,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
130,Acaponeta,MX,76.33,overcast clouds,22.4964,-105.3594,Hotel Casa Blanca
132,Kintampo,GH,80.98,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
134,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
136,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
139,Cabo San Lucas,MX,77.31,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
141,Puerto Colombia,CO,80.87,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
143,Roebourne,AU,84.45,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
149,Umm Lajj,SA,78.82,clear sky,25.0213,37.2685,Moon light Furnished Units
150,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
151,Mozarlandia,BR,81.99,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
171,Sao Filipe,CV,78.03,scattered clouds,14.8961,-24.4956,Hotel Xaguate
172,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
174,Kibala,TD,76.14,scattered clouds,9.1104,18.3463,hotel safari
175,Santa Cruz,BO,84.25,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
179,Faanui,PF,81.7,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Trairi,BR,80.56,few clouds,-3.2778,-39.2689,janelas do mar
194,Alto Longa,BR,81.91,broken clouds,-5.2511,-42.2103,pousada E Restaurante Longá
195,Orodara,BF,80.98,broken clouds,10.9492,-4.9342,Bkf Orodara
196,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
200,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
202,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
203,Kandrian,PG,82.53,overcast clouds,-6.2167,149.55,Kandrian Station
204,Daru,PG,80.46,overcast clouds,-9.0763,143.2092,Daru Lodge
206,Lorengau,PG,81.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
211,Pandan,PH,79.03,overcast clouds,14.0453,124.1694,Bonifacio Lodge
213,Lompoc,US,82.54,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
217,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
218,Hambantota,LK,77.07,heavy intensity rain,6.1241,81.1185,Bungalow 63
219,Sabang,ID,80.73,light rain,5.8933,95.3214,Hotel Citra
221,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
222,Kavieng,PG,82.22,light rain,-2.5744,150.7967,Nusa Island Retreat
226,Monte Alegre,BR,82.89,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
229,San Fernando,PH,78.82,overcast clouds,15.0286,120.6898,Maharlika Hostel
247,Domoni,KM,78.42,light rain,-12.2569,44.5319,Al Djadid
250,Dwarka,IN,75.79,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
259,Biak,ID,77.81,overcast clouds,-0.9131,122.8766,Penginapan Kim
260,Grand-Lahou,CI,79.27,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
261,Saint-Pierre,RE,76.68,moderate rain,-21.3393,55.4781,Lindsey Hôtel
263,Norsup,VU,83.07,few clouds,-16.0667,167.3833,Nabelchel Bungalows
264,Guatire,VE,81.1,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
272,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
273,Bowen,AU,80.82,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
276,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
281,Coari,BR,76.28,light rain,-4.085,-63.1414,HOTEL ALEX FLAT
288,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
302,Sinnamary,GF,77.94,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
307,Sao Jose Da Coroa Grande,BR,79.88,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
310,Sola,VU,80.82,scattered clouds,-13.8833,167.55,Leumerus Bungalows
311,Mackay,AU,84.18,broken clouds,-21.15,149.2,International Lodge Motel
313,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
314,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
320,Gunjur,GM,78.87,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
326,Mocajuba,BR,78.37,broken clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
329,Manzanillo,CU,75.61,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
330,Camocim,BR,80.47,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
340,Kupang,ID,81.75,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
346,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
348,Karratha,AU,88.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
356,Aloleng,PH,79.7,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
358,Dakar,SN,78.93,clear sky,14.6937,-17.4441,Redface Studios Meublés
363,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
365,Avenal,US,78.85,clear sky,36.0041,-120.129,Lodge House Inn The
367,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
380,Katobu,ID,78.42,overcast clouds,-4.9408,122.5276,La Ode Husein
387,Gigmoto,PH,80.13,overcast clouds,13.7796,124.39,Cj's Travellers Inn
388,Tamandare,BR,79.77,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
390,Port-Gentil,GA,76.96,thunderstorm,-0.7193,8.7815,Fengshui Residence
392,Itarema,BR,80.62,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
398,Poum,NC,80.67,clear sky,-20.2333,164.0167,Gîte kajeon
400,Gorontalo,ID,77.43,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
401,Buala,SB,84.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
405,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
406,Boyolangu,ID,76.75,light rain,-8.1181,111.8935,Yos ega cv
407,Cukai,MY,77.14,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
413,Bullhead City,US,78.06,clear sky,35.1478,-114.5683,Harrah's Laughlin
417,Sitio Novo Do Tocantins,BR,84.13,clear sky,-5.5183,-47.4611,Imperial Hotel
421,Omboue,GA,75.04,moderate rain,-1.5746,9.2618,Hotel Olako
423,Bandarbeyla,SO,78.55,scattered clouds,9.4942,50.8122,JABIR HOTEL
427,Careiro Da Varzea,BR,77.63,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
429,Ternate,ID,82.04,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
430,Carutapera,BR,78.22,scattered clouds,-1.195,-46.02,Lidera
431,Lazaro Cardenas,MX,82.11,few clouds,17.9583,-102.2,quinta antigua
433,Hobyo,SO,80.15,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
441,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
446,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
450,Neuquen,AR,78.69,few clouds,-38.9516,-68.0591,Hotel del Comahue
462,Cozumel,MX,80.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
463,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
470,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
478,Zaraza,VE,78.96,broken clouds,9.3503,-65.3245,Hotel Zaraza
479,Rosario,AR,78.71,broken clouds,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
489,Sambava,MG,75.63,light rain,-14.2667,50.1667,Melrose
504,Auki,SB,86.2,overcast clouds,-8.7676,160.7034,Auki Motel
506,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
508,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
521,Koumac,NC,84.29,clear sky,-20.5667,164.2833,Le Monitel
527,Ontario,US,80.64,few clouds,34.0633,-117.6509,American Inn
529,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
533,Dingle,PH,77.88,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
539,Coxim,BR,84.16,overcast clouds,-18.5067,-54.76,Hotel Avenida
540,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
545,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
551,Funadhoo,MV,81.39,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
555,Tres Lagoas,BR,80.87,clear sky,-20.7511,-51.6783,Druds Express Hotel
557,Yeppoon,AU,78.58,light rain,-23.1333,150.7333,Villa Mar Colina
561,Sai Buri,TH,75.88,moderate rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
564,Piacabucu,BR,79.56,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
565,Bengkulu,ID,76.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
574,Mogadishu,SO,80.24,scattered clouds,2.0371,45.3438,Hotel Juba
575,Manokwari,ID,80.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
582,Hervey Bay,AU,75.31,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
588,Labuhan,ID,78.06,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
591,Tevaitoa,PF,81.25,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
593,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
596,Namatanai,PG,83.34,light rain,-3.6667,152.4333,Seagulls Inn Namatani
