City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Waingapu,ID,-9.6567,120.2641,79.74,81,99,5.08,overcast clouds
1,Khatanga,RU,71.9667,102.5,-7.24,92,100,14.23,overcast clouds
2,Pisco,PE,-13.7,-76.2167,69.85,73,0,18.41,clear sky
3,Ushuaia,AR,-54.8,-68.3,53.26,35,0,10.36,clear sky
4,Hobart,AU,-42.8794,147.3294,58.86,67,0,10.36,clear sky
5,Rikitea,PF,-23.1203,-134.9692,75.79,79,11,15.21,light rain
6,Tiksi,RU,71.6872,128.8694,-5.71,97,100,7.0,overcast clouds
7,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,5.75,clear sky
8,Bethel,US,41.3712,-73.414,37.76,38,1,9.22,clear sky
9,Nome,US,64.5011,-165.4064,-5.73,59,1,10.36,clear sky
10,Klaksvik,FO,62.2266,-6.589,27.52,81,100,9.31,light snow
11,Bakchar,RU,57.0186,82.0711,24.84,94,100,11.27,light snow
12,Yasnyy,RU,51.0333,59.8742,11.48,84,10,8.32,clear sky
13,Jega,NG,12.2175,4.3792,79.41,12,90,9.64,overcast clouds
14,Albany,US,42.6001,-73.9662,29.05,65,8,12.06,clear sky
15,Brigantine,US,39.4101,-74.3646,39.25,48,1,11.5,clear sky
16,Orapa,BW,-21.2833,25.3667,71.89,54,4,18.07,clear sky
17,Cayenne,GF,4.9333,-52.3333,82.44,83,75,4.61,broken clouds
18,Mount Gambier,AU,-37.8333,140.7667,55.58,66,4,9.1,clear sky
19,Lasa,IT,46.6166,10.7002,38.28,95,100,2.17,light rain
20,Bluff,NZ,-46.6,168.3333,51.75,64,1,2.39,clear sky
21,Torit,SS,4.4133,32.5678,76.19,64,87,2.1,overcast clouds
22,Uarini,BR,-2.99,-65.1083,80.55,94,100,0.72,overcast clouds
23,Trinidad,BO,-14.8333,-64.9,87.78,70,20,6.91,few clouds
24,San Patricio,US,28.017,-97.5169,55.26,67,100,7.58,overcast clouds
25,Bermeo,ES,43.4209,-2.7215,44.8,74,94,24.25,light rain
26,Narsaq,GL,60.9167,-46.05,37.62,97,100,8.46,moderate rain
27,Georgetown,MY,5.4112,100.3354,76.95,94,20,2.3,few clouds
28,Port Alfred,ZA,-33.5906,26.891,64.2,82,37,8.72,scattered clouds
29,Gladstone,AU,-23.85,151.25,80.53,74,75,11.5,broken clouds
30,Avarua,CK,-21.2078,-159.775,82.45,83,20,11.5,light rain
31,Kapaa,US,22.0752,-159.319,80.92,57,1,10.36,clear sky
32,Pevek,RU,69.7008,170.3133,-13.77,84,6,4.34,clear sky
33,Husavik,IS,66.0449,-17.3389,30.11,90,82,10.02,light snow
34,Lahaina,US,20.8783,-156.6825,85.24,67,4,3.02,clear sky
35,Talkha,EG,31.0539,31.3779,63.91,66,17,4.23,few clouds
36,Hithadhoo,MV,-0.6,73.0833,81.63,71,32,17.78,scattered clouds
37,Hermanus,ZA,-34.4187,19.2345,64.47,80,33,16.64,scattered clouds
38,Sitka,US,57.0531,-135.33,35.49,87,90,5.75,light rain
39,Qaanaaq,GL,77.484,-69.3632,1.51,96,100,1.19,overcast clouds
40,Jamestown,US,42.097,-79.2353,33.12,74,90,5.75,overcast clouds
41,Havoysund,NO,70.9963,24.6622,22.08,71,39,15.43,scattered clouds
42,Yellowknife,CA,62.456,-114.3525,-7.08,77,20,5.75,few clouds
43,Batemans Bay,AU,-35.7167,150.1833,58.37,79,100,8.5,overcast clouds
44,Luderitz,NA,-26.6481,15.1594,60.48,88,0,5.17,clear sky
45,Melfi,IT,40.9965,15.6514,43.09,89,20,7.16,few clouds
46,Hailun,CN,47.45,126.9333,14.04,95,31,7.43,scattered clouds
47,Nantucket,US,41.2835,-70.0995,39.31,48,1,10.36,clear sky
48,Tambun,ID,-6.2641,107.0712,75.09,94,40,6.91,haze
49,Ribeira Grande,PT,38.5167,-28.7,61.93,65,63,9.4,broken clouds
50,Airai,TL,-8.9266,125.4092,63.21,88,98,1.45,overcast clouds
51,Port Keats,AU,-14.25,129.55,82.31,62,100,3.11,light rain
52,Vanimo,PG,-2.6741,141.3028,77.99,85,100,4.94,overcast clouds
53,Chajul,GT,15.4853,-91.0342,69.84,95,99,3.36,overcast clouds
54,Cape Town,ZA,-33.9258,18.4232,63.01,94,75,18.41,light rain
55,General Pico,AR,-35.6566,-63.7568,59.67,86,98,11.03,overcast clouds
56,Mweka,CD,-4.85,21.5667,65.26,98,75,1.43,light rain
57,Ostrovnoy,RU,68.0531,39.5131,9.73,86,15,8.66,few clouds
58,Irtyshskiy,RU,58.3333,68.1333,24.22,92,94,10.49,overcast clouds
59,Kavaratti,IN,10.5669,72.642,81.46,77,100,9.01,overcast clouds
60,Tomatlan,MX,19.9333,-105.25,84.06,55,16,7.56,few clouds
61,Saskylakh,RU,71.9167,114.0833,-2.9,92,92,10.18,overcast clouds
62,Coahuayana,MX,18.7333,-103.6833,85.35,58,50,6.38,scattered clouds
63,Puerto Ayora,EC,-0.7393,-90.3518,75.16,75,77,10.58,broken clouds
64,Atuona,PF,-9.8,-139.0333,78.73,73,41,20.42,scattered clouds
65,College,US,64.8569,-147.8028,-11.25,73,75,3.44,light snow
66,Mataura,NZ,-46.1927,168.8643,59.38,46,59,1.74,broken clouds
67,Busselton,AU,-33.65,115.3333,66.09,61,1,5.61,clear sky
68,Cherskiy,RU,68.75,161.3,-25.08,92,10,3.56,clear sky
69,Bredasdorp,ZA,-34.5322,20.0403,65.77,67,70,8.14,broken clouds
70,Progreso,MX,21.2833,-89.6667,82.51,68,46,13.06,scattered clouds
71,Punta Arenas,CL,-53.15,-70.9167,53.71,54,90,8.05,overcast clouds
72,Nabire,ID,-3.3667,135.4833,75.42,91,100,2.73,overcast clouds
73,Gold Coast,AU,-28.0,153.4333,71.67,73,90,17.27,overcast clouds
74,Vostok,RU,46.4856,135.8833,3.94,97,61,4.92,broken clouds
75,Bintulu,MY,3.1667,113.0333,75.61,100,40,3.44,moderate rain
76,Awjilah,LY,29.1081,21.2869,73.24,34,18,6.51,few clouds
77,Na Klang,TH,17.3072,102.1889,63.16,77,98,4.59,overcast clouds
78,Novosokolniki,RU,56.3463,30.1578,33.37,99,100,4.21,light snow
79,Lamar,US,33.6668,-95.5836,55.06,87,90,5.75,overcast clouds
