City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2021-11-23 05:01:27,-20.3428,57.7575,81.21,66,15,8.39
1,Bukama,CD,2021-11-23 05:04:52,-9.2,25.85,69.98,95,99,3.42
2,Omboue,GA,2021-11-23 05:04:52,-1.5746,9.2618,76.01,92,100,4.47
3,Perumpavur,IN,2021-11-23 05:04:52,10.1333,76.4833,87.22,66,40,2.3
4,Gushikawa,JP,2021-11-23 05:04:53,26.3544,127.8686,69.03,58,75,12.66
5,Srednekolymsk,RU,2021-11-23 05:04:53,67.45,153.6833,-30.19,99,63,4.81
6,Port Elizabeth,ZA,2021-11-23 05:01:48,-33.918,25.5701,61.11,72,98,15.39
7,Airai,TL,2021-11-23 05:02:53,-8.9266,125.4092,76.51,52,86,2.13
8,Puerto Ayora,EC,2021-11-23 05:01:17,-0.7393,-90.3518,67.93,76,25,6.38
9,Mount Gambier,AU,2021-11-23 05:04:54,-37.8333,140.7667,57.99,98,100,3.85
10,Ushuaia,AR,2021-11-23 05:04:54,-54.8,-68.3,37.06,75,40,4.61
11,Tasiilaq,GL,2021-11-23 05:01:21,65.6145,-37.6368,26.76,63,98,7.72
12,Tuktoyaktuk,CA,2021-11-23 05:04:54,69.4541,-133.0374,-6.54,95,100,8.1
13,Luanda,AO,2021-11-23 05:00:38,-8.8368,13.2343,78.8,83,75,6.91
14,Taitung,TW,2021-11-23 05:04:55,22.7583,121.1444,71.87,60,75,6.91
15,Albany,US,2021-11-23 05:04:55,42.6001,-73.9662,32.36,71,20,1.99
16,Busselton,AU,2021-11-23 05:01:17,-33.65,115.3333,72.0,43,0,12.64
17,Georgetown,MY,2021-11-23 05:04:55,5.4112,100.3354,87.73,74,20,10.36
18,Butaritari,KI,2021-11-23 05:04:56,3.0707,172.7902,82.33,77,20,12.66
19,Saskylakh,RU,2021-11-23 05:04:56,71.9167,114.0833,-24.75,98,11,8.9
20,Hermanus,ZA,2021-11-23 05:04:56,-34.4187,19.2345,66.9,75,11,9.04
21,Rikitea,PF,2021-11-23 05:04:57,-23.1203,-134.9692,75.96,77,1,11.27
22,Strezhevoy,RU,2021-11-23 05:04:57,60.7333,77.5889,24.78,89,100,13.24
23,Pacific Grove,US,2021-11-23 05:04:20,36.6177,-121.9166,58.5,44,1,1.01
24,Longyearbyen,SJ,2021-11-23 05:01:10,78.2186,15.6401,4.84,56,20,6.91
25,Santarem,BR,2021-11-23 05:04:24,-2.4431,-54.7083,73.53,100,0,3.44
26,Constitucion,CL,2021-11-23 05:01:39,-35.3333,-72.4167,59.92,57,0,7.2
27,Thompson,CA,2021-11-23 05:01:19,55.7435,-97.8558,5.29,81,100,7.78
28,Barrow,US,2021-11-23 05:04:14,71.2906,-156.7887,-2.18,78,90,4.61
29,Jacareacanga,BR,2021-11-23 05:04:58,-6.2222,-57.7528,73.2,96,99,2.08
30,Mataura,NZ,2021-11-23 05:04:24,-46.1927,168.8643,61.66,48,79,6.06
31,Anaco,VE,2021-11-23 05:04:58,9.4389,-64.4728,73.17,87,67,7.29
32,Aklavik,CA,2021-11-23 05:04:58,68.2191,-135.0107,-8.1,96,100,9.33
33,Requena,ES,2021-11-23 05:04:59,39.4883,-1.1004,44.13,91,99,3.89
34,Batagay-Alyta,RU,2021-11-23 05:04:59,67.8006,130.4114,-27.02,98,46,3.29
35,Malpe,IN,2021-11-23 05:04:59,13.35,74.7167,85.3,74,20,2.86
36,Mezhdurechensk,RU,2021-11-23 05:05:00,53.6942,88.0603,32.88,81,100,5.91
37,Bud,US,2021-11-23 05:05:00,39.447,-86.1758,27.21,79,2,5.57
38,Puerto Escondido,MX,2021-11-23 05:05:00,15.85,-97.0667,77.83,69,40,5.75
39,Umm Lajj,SA,2021-11-23 05:05:00,25.0213,37.2685,71.51,35,2,12.93
40,Saint Anthony,US,2021-11-23 05:05:01,45.0205,-93.218,30.13,56,1,1.99
41,Hofn,IS,2021-11-23 05:05:01,64.2539,-15.2082,42.39,65,84,6.96
42,Pisco,PE,2021-11-23 05:05:01,-13.7,-76.2167,67.01,82,90,8.05
43,Punta Arenas,CL,2021-11-23 05:05:02,-53.15,-70.9167,39.31,70,75,5.75
44,Kapaa,US,2021-11-23 05:02:28,22.0752,-159.319,77.11,79,21,1.01
45,Syedove,UA,2021-11-23 05:06:02,47.0768,38.156,46.0,94,100,2.46
46,Poyarkovo,RU,2021-11-23 05:06:02,49.6,128.6833,21.76,94,100,17.13
47,Vao,NC,2021-11-23 05:06:03,-22.6667,167.4833,75.18,79,99,11.01
48,Jamestown,US,2021-11-23 05:01:16,42.097,-79.2353,32.72,66,81,5.99
49,Atuona,PF,2021-11-23 05:01:08,-9.8,-139.0333,77.79,76,100,9.73
50,Ambunti,PG,2021-11-23 05:06:03,-4.2365,142.8448,84.58,85,43,1.88
51,Sitka,US,2021-11-23 05:06:03,57.0531,-135.33,35.49,87,90,0.0
52,Fort Smith,US,2021-11-23 05:06:03,35.3859,-94.3986,44.26,68,1,1.99
53,Kavaratti,IN,2021-11-23 05:06:04,10.5669,72.642,81.39,76,84,8.03
54,Grand Gaube,MU,2021-11-23 05:04:22,-20.0064,57.6608,82.38,61,7,5.99
55,Severo-Kurilsk,RU,2021-11-23 05:06:04,50.6789,156.125,38.16,85,96,19.28
56,Cape Town,ZA,2021-11-23 05:06:04,-33.9258,18.4232,67.12,68,3,11.41
57,Hobart,AU,2021-11-23 05:02:32,-42.8794,147.3294,76.05,58,75,3.0
58,Provideniya,RU,2021-11-23 05:06:05,64.3833,-173.3,10.51,52,1,13.42
59,Tecoanapa,MX,2021-11-23 05:06:05,16.5167,-98.75,77.67,83,7,4.76
60,Ostrow Mazowiecka,PL,2021-11-23 05:06:05,52.8024,21.8951,33.62,90,60,9.51
61,Nsanje,MW,2021-11-23 05:06:06,-16.92,35.262,82.18,64,48,3.67
62,Bay Roberts,CA,2021-11-23 05:06:06,47.5999,-53.2648,38.34,90,86,1.01
63,Tieli,CN,2021-11-23 05:06:06,46.95,128.05,14.5,93,100,16.51
64,Antananarivo,MG,2021-11-23 05:04:03,-18.9137,47.5361,71.56,60,20,4.61
65,Oranjemund,NA,2021-11-23 05:06:07,-28.55,16.4333,63.81,77,96,7.96
66,Castro,BR,2021-11-23 05:01:32,-24.7911,-50.0119,61.05,62,61,3.11
67,Fortuna,US,2021-11-23 05:06:07,40.5982,-124.1573,49.12,92,90,4.0
68,Khatanga,RU,2021-11-23 05:01:25,71.9667,102.5,-1.61,79,99,22.46
69,Skegness,GB,2021-11-23 05:06:07,53.1436,0.3363,42.06,67,84,7.29
70,Nome,US,2021-11-23 05:06:08,64.5011,-165.4064,8.67,47,1,18.41
71,Bahia Blanca,AR,2021-11-23 05:06:08,-38.7196,-62.2724,52.97,70,1,10.63
72,Bonavista,CA,2021-11-23 05:06:08,48.6499,-53.1147,38.12,75,87,20.15
73,Stornoway,GB,2021-11-23 05:05:32,58.2093,-6.3865,46.36,94,90,1.99
74,Saldanha,ZA,2021-11-23 05:06:09,-33.0117,17.9442,62.42,75,3,13.89
75,Nizwa,OM,2021-11-23 05:01:44,22.9333,57.5333,80.28,15,2,0.72
